icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
760.000000,0.305176,-0.971191,0.254883,76.000000,-0.156403,0.253677,0.612259,76.000000,-19.573639,-1.428421,-29.128525,76.000000
770.000000,0.305176,-0.966797,0.242676,77.000000,-0.644684,0.070572,-0.055313,77.000000,-19.573639,-1.728424,-28.678528,77.000000
780.000000,0.327637,-0.969238,0.254394,78.000000,-0.339508,0.497818,0.368118,78.000000,-19.573639,-1.428421,-30.178528,78.000000
790.000000,0.312988,-0.970215,0.239258,79.000000,-0.217438,0.009537,0.551224,79.000000,-20.173645,-1.428421,-30.178528,79.000000
800.000000,0.312988,-0.967773,0.235840,80.000000,0.389099,0.131607,0.429153,80.000000,-18.073639,-2.328430,-29.578522,80.000000
810.000000,0.313476,-0.975586,0.256836,81.000000,0.022888,-0.474930,0.307083,81.000000,-18.073639,-1.578430,-29.578522,81.000000
820.000000,0.308105,-0.965332,0.248047,82.000000,0.328064,-0.047684,0.673294,82.000000,-20.173645,-1.578430,-29.578522,82.000000
830.000000,0.315918,-0.966308,0.250488,83.000000,0.144958,0.253677,0.734329,83.000000,-20.023636,-2.328430,-30.028519,83.000000
840.000000,0.320801,-0.967285,0.253418,84.000000,0.083923,0.314713,0.917435,84.000000,-20.773636,-0.678421,-30.178528,84.000000
850.000000,0.313476,-0.969238,0.247070,85.000000,0.144958,0.558853,0.307083,85.000000,-20.773636,-2.478424,-30.478516,85.000000
860.000000,0.319824,-0.966308,0.252441,86.000000,-0.156403,0.375748,0.673294,86.000000,-19.123642,-2.478424,-30.478516,86.000000
870.000000,0.326172,-0.969726,0.250000,87.000000,0.694275,0.192642,0.673294,87.000000,-19.273636,-2.778427,-29.578522,87.000000
880.000000,0.316406,-0.973144,0.248047,88.000000,0.083923,-0.291824,0.307083,88.000000,-19.273636,-3.678421,-29.878525,88.000000
890.000000,0.308105,-0.971679,0.249512,89.000000,0.144958,-0.230789,0.612259,89.000000,-20.473648,-3.678421,-29.878525,89.000000
900.000000,0.312988,-0.954101,0.251953,90.000000,0.205994,0.070572,0.185013,90.000000,-19.423645,-0.528427,-30.328522,90.000000
910.000000,0.326660,-0.958496,0.241699,91.000000,0.511169,-0.413895,0.368118,91.000000,-19.423645,-3.078430,-30.028519,91.000000
920.000000,0.325195,-0.967285,0.260254,92.000000,-0.034332,-0.047684,0.612259,92.000000,-19.423645,-3.078430,-30.028519,92.000000
930.000000,0.319336,-0.972656,0.237793,93.000000,0.022888,-0.230789,0.307083,93.000000,-20.323639,-2.328430,-29.578522,93.000000
940.000000,0.319824,-0.979980,0.247070,94.000000,0.511169,-0.291824,0.062943,94.000000,-20.023636,-1.728424,-29.878525,94.000000
950.000000,0.309082,-0.987793,0.250977,95.000000,-0.156403,0.253677,0.123978,95.000000,-20.173645,-0.978424,-28.078522,95.000000
960.000000,0.319336,-0.970215,0.252441,96.000000,-0.278473,0.009537,0.307083,96.000000,-20.173645,-3.828430,-29.278519,96.000000
970.000000,0.317383,-0.973144,0.254883,97.000000,0.328064,0.009537,0.185013,97.000000,-21.223648,-3.828430,-29.278519,97.000000
980.000000,0.310059,-0.971191,0.256348,98.000000,0.389099,0.131607,0.123978,98.000000,-19.873642,-2.328430,-27.478516,98.000000
990.000000,0.312988,-0.975097,0.250977,99.000000,0.267029,0.131607,-0.238419,99.000000,-19.123642,-1.278427,-29.278519,99.000000
1000.000000,0.319824,-0.969726,0.248535,100.000000,0.511169,0.253677,-0.177383,100.000000,-19.123642,-2.328430,-30.328522,100.000000
1010.000000,0.307129,-0.965820,0.249023,101.000000,0.633240,-0.230789,0.246048,101.000000,-19.873642,-2.328430,-30.328522,101.000000
1020.000000,0.316406,-0.965332,0.248047,102.000000,-0.217438,-0.169754,-0.299454,102.000000,-19.123642,-2.328430,-28.978516,102.000000
1030.000000,0.313476,-0.954101,0.257324,103.000000,-0.522614,-0.291824,-0.177383,103.000000,-19.123642,-1.578430,-28.978516,103.000000
1040.000000,0.308105,-0.971191,0.243652,104.000000,0.755310,0.314713,0.123978,104.000000,-19.423645,-1.578430,-28.978516,104.000000
1050.000000,0.307129,-0.958008,0.252441,105.000000,0.389099,-0.291824,-0.177383,105.000000,-19.273636,-3.828430,-28.528519,105.000000
1060.000000,0.318848,-0.958984,0.254394,106.000000,-0.034332,-0.352859,0.612259,106.000000,-19.273636,-1.428421,-30.478516,106.000000
1070.000000,0.314453,-0.962890,0.251953,107.000000,0.328064,0.253677,-0.116348,107.000000,-20.173645,-1.428421,-30.478516,107.000000
1080.000000,0.307129,-0.968750,0.250977,108.000000,0.633240,0.986099,-0.116348,108.000000,-18.673645,-2.778427,-28.528519,108.000000
