cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
52,4803,4870,96080.0,97420.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,920.0,420.0,200.0,220.0,68.65671641791045,31.34328358208955,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
53,4871,4941,97420.0,98840.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1420.0,1080.0,340.0,160.0,180.0,76.05633802816901,23.943661971830984,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
54,4942,5014,98840.0,100300.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1460.0,1000.0,460.0,180.0,280.0,68.4931506849315,31.506849315068493,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
55,5015,5146,100300.0,102940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2640.0,2420.0,220.0,100.0,120.0,91.66666666666667,8.333333333333334,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=9.7; log_swing_ms robust z=-4.8; stance_percent robust z=4.7
56,5147,5222,102940.0,104480.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1540.0,1300.0,240.0,120.0,120.0,84.41558441558442,15.584415584415584,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=-3.9
57,5223,5290,104480.0,105820.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,1000.0,340.0,180.0,160.0,74.6268656716418,25.37313432835821,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
58,5291,5359,105820.0,107200.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1380.0,1040.0,340.0,200.0,140.0,75.3623188405797,24.63768115942029,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
59,5360,5425,107200.0,108540.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,1000.0,340.0,180.0,160.0,74.6268656716418,25.37313432835821,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
60,5426,5489,108540.0,109800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,940.0,320.0,160.0,160.0,74.60317460317461,25.396825396825395,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
61,5490,5552,109800.0,111080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,840.0,440.0,240.0,200.0,65.625,34.375,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
62,5553,5617,111080.0,112360.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,980.0,300.0,160.0,140.0,76.5625,23.4375,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
63,5618,5679,112360.0,113600.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1240.0,920.0,320.0,160.0,160.0,74.19354838709677,25.806451612903224,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
64,5680,5739,113600.0,114800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1200.0,840.0,360.0,180.0,180.0,70.0,30.0,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
65,5740,5801,114800.0,116060.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,940.0,320.0,160.0,160.0,74.60317460317461,25.396825396825395,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
66,5802,5904,116060.0,118140.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2080.0,900.0,1180.0,220.0,960.0,43.26923076923077,56.73076923076923,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=13.8; stance_percent robust z=-7.7
67,5905,5944,118140.0,,1→2,full_cycle,standard,,"0,6",0→6,,,,,,,,False,,,,,rejected,False,auto,"incomplete suffix after [1, 2]"
